# id	left	top	right	bottom	texture_id
[SPRITES]
10100	458	222	469	231	20 #11 8, 100
10110	471	222	486	231	20 #15 8, 1000

10200	457	232	468	239	20 #12 8, 200
10220	470	232	487	239	20 #16 8, 2000

10300	3	129	12	136	40 #8 7, 0
10301	14	129	21	136	40 #6 7, 1
10302	23	129	32	136	40 #8 7, 2
10303	34	129	43	136	40 #8 7, 3
10304	45	129	54	136	40 #8 7, 4
10305	3	138	12	145	40 #8 7, 5
10306	13	138	22	145	40 #8 7, 6
10307	23	138	32	145	40 #8 7, 7
10308	34	138	43	145	40 #8 7, 8
10309	45	138	54	145	40 #8 7, 9

#Coin: 50 (not show), brick coin: 100
#Koopas: 100, shell: 200. Stop shell: 100, hit again: 100
#Red mushroom, leaf: 1000
#Goomba: 100. Shell hit goomba: 100
#Red goomba: 200, wing: 100
#Green Koopas: 200, wing: 100

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
